placekey,poi_cbg,parent_placekey,location_name,brands,safegraph_brand_ids,store_id,top_category,sub_category,naics_code,open_hours,category_tags,latitude,longitude,street_address,city,region,postal_code,iso_country_code,opened_on,closed_on,tracking_closed_since,websites,phone_number,wkt_area_sq_meters
223-222@5w9-yht-n89,160270216003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.65428,-116.712138,1712 Emerald Ave,Caldwell,ID,83605,US,null,null,2019-07,[],+12084020135,296
223-222@5wf-y6r-zxq,160659502002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.824537,-111.7888,170 W 1st S,Rexburg,ID,83440,US,null,null,2019-07,[],+12083564137,1415
223-222@5wf-y6t-pd9,160659502003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.829787,-111.80072,590 Summerwood Dr,Rexburg,ID,83440,US,null,null,2019-07,[],+12083560350,2671
223-222@5wf-zxv-9cq,160439703005,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.970891,-111.685618,449 N 2nd W,St. Anthony,ID,83445,US,null,null,2019-07,[],+12086244396,496
223-222@5wg-426-x89,160199707002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.498934,-112.020115,651 Gladstone St,Idaho Falls,ID,83401,US,null,null,2019-07,"[""lds.org""]",+12085221274,1306
223-222@5wg-5wg-d9z,160199705011,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.482628,-111.947653,4363 E 17th St,Ammon,ID,83406,US,null,null,2019-07,[],+12085424551,2512
223-222@5wr-dpt-xwk,160199701003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.404267,-112.004022,10591 S 15th E,Idaho Falls,ID,83404,US,null,null,2019-07,"[""lds.org""]",+12085220584,1236
223-222@5wr-dpt-xwk,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.404267,-112.004022,10591 S 15th E,Idaho Falls,ID,83404,US,null,null,2019-07,"[""lds.org""]",+12085220584,1236
223-222@5wr-ghb-sdv,160050011021,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.895394,-112.435939,1169 Call Creek Dr,Pocatello,ID,83201,US,null,null,2019-07,[],+12082327780,386
223-222@5wr-ghb-sdv,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.895394,-112.435939,1169 Call Creek Dr,Pocatello,ID,83201,US,null,null,2019-07,[],+12082327780,386
