tract,median(estimatedMembers),avg(estimatedMembers),min(estimatedMembers),max(estimatedMembers),stddev_samp(estimatedMembers),count(estimatedMembers),team_name
127100,205.64488148980374,208.3745147717218,145.1371980107722,275.50156038661896,42.10326878959341,7,Marquet
130100,291.89015096049263,291.89015096049263,291.89015096049263,291.89015096049263,null,1,Marquet
130200,183.4523355684981,183.4523355684981,183.4523355684981,183.4523355684981,null,1,Marquet
130701,242.8972677117348,218.69503352326987,144.58287947814304,268.60495337993177,65.45746564380691,3,Marquet
130702,598.7799506586424,698.0517432310397,452.0934744539177,1254.2516076387321,267.86193218995436,7,Marquet
130703,193.66806816333548,216.05807834872485,171.51532054869563,305.38085651953276,62.877260129920856,4,Marquet
130800,205.98861315344982,205.98861315344982,205.60236649013942,206.37485981676025,0.5462352696749452,2,Marquet
131001,273.09321696360377,273.09321696360377,273.09321696360377,273.09321696360377,null,1,Marquet
131002,340.2512069742438,340.2512069742438,340.2512069742438,340.2512069742438,null,1,Marquet
131100,2583.646177558257,2583.646177558257,2583.646177558257,2583.646177558257,null,1,Marquet
131200,37.019430596089954,37.019430596089954,37.019430596089954,37.019430596089954,null,1,Marquet
134600,248.96590287510102,248.96590287510102,248.96590287510102,248.96590287510102,null,1,Marquet
135102,263.91727147801527,263.91727147801527,263.91727147801527,263.91727147801527,null,1,Marquet
140704,140.3838257183224,140.3838257183224,140.3838257183224,140.3838257183224,null,1,Marquet
143602,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
150100,271.9401736618866,271.9401736618866,271.9401736618866,271.9401736618866,null,1,Marquet
172006,13.325460255752784,13.325460255752784,13.325460255752784,13.325460255752784,null,1,Marquet
173400,256.1345167642927,256.1345167642927,256.1345167642927,256.1345167642927,null,1,Marquet
181819,134.54528205192133,134.54528205192133,134.54528205192133,134.54528205192133,null,1,Marquet
182106,314.4082998409184,314.4082998409184,314.4082998409184,314.4082998409184,null,1,Marquet
190100,40.69236840694394,40.69236840694394,40.69236840694394,40.69236840694394,null,1,Marquet
191814,232.40908030563887,232.40908030563887,232.40908030563887,232.40908030563887,null,1,Marquet
193400,237.9345629086028,237.9345629086028,237.9345629086028,237.9345629086028,null,1,Marquet
200100,222.2934381206647,222.2934381206647,222.2934381206647,222.2934381206647,null,1,Marquet
200202,443.6693051110881,443.6693051110881,443.6693051110881,443.6693051110881,null,1,Marquet
200203,270.45525850345285,270.45525850345285,270.45525850345285,270.45525850345285,null,1,Marquet
200600,288.2204520782944,288.2204520782944,288.2204520782944,288.2204520782944,null,1,Marquet
200800,180.44893435933304,189.47138107729972,180.44893435933304,225.5611679491664,20.17480418474335,5,Marquet
200900,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
201400,260.929886588725,260.929886588725,260.929886588725,260.929886588725,null,1,Marquet
201500,89.74461123487566,89.74461123487566,89.74461123487566,89.74461123487566,null,1,Marquet
201600,117.52283339597845,117.52283339597845,53.55538297957157,181.49028381238534,90.46363592931111,2,Marquet
201900,209.506721637806,209.506721637806,209.506721637806,209.506721637806,null,1,Marquet
203901,89.74461123487566,89.74461123487566,89.74461123487566,89.74461123487566,null,1,Marquet
206000,241.1019032551076,241.1019032551076,171.51532054869563,310.6884859615196,98.41028902260489,2,Marquet
207400,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
210100,454.4391294161314,391.5731503559891,185.98335288048378,559.2053614039046,164.70405413703944,5,Marquet
210104,128.78459430639427,128.78459430639427,128.78459430639427,128.78459430639427,null,1,Marquet
210201,223.00061566862732,223.00061566862732,205.64488148980374,240.3563498474509,24.544714660634583,2,Marquet
210203,257.5304807618585,257.5304807618585,231.75058337036927,283.31037815334764,36.458280527630784,2,Marquet
210204,213.10701639476252,213.10701639476252,157.60907940959325,268.60495337993177,78.48593516815377,2,Marquet
210302,202.9418636412005,151.3077345227864,52.147043336426464,231.75058337036927,91.09218090600154,5,Marquet
210303,281.2723225474542,281.2723225474542,222.2934381206647,340.2512069742438,83.40873825000112,2,Marquet
210304,259.49472642364844,282.4383577053897,129.45656142252793,458.9461554996144,116.56529915736677,6,Marquet
210402,332.13633925373256,361.45237279074234,275.50156038661896,476.71921873187557,103.76275282703527,3,Marquet
210403,280.54850398281246,333.33033535268345,127.5575495557855,722.8634269776296,201.73479276286926,6,Marquet
210504,318.38607266312124,353.17426104974584,137.3071816612259,605.6329568429173,160.41987678731724,8,Marquet
210505,423.8682105465296,441.77175146908803,232.01231623643363,1001.5908085216836,235.32421478408824,10,Marquet
210506,663.2473086352246,663.2473086352246,269.1465718896393,1057.34804538081,557.3426068468356,2,Marquet
210507,201.81792307788206,201.81792307788206,201.81792307788206,201.81792307788206,null,1,Marquet
210508,210.23038177439565,210.23038177439565,206.37485981676025,214.08590373203103,5.452531442515233,2,Marquet
210509,146.81877820336678,146.81877820336678,1.6039915333236667,292.0335648734099,205.3647207658907,2,Marquet
210511,243.11053118550092,237.75543108418373,181.49028381238534,283.31037815334764,47.27223821181656,4,Marquet
210512,262.9131992764102,537.2833159404141,94.68514090610022,1254.2516076387321,626.5842468346649,3,Marquet
210600,283.31037815334764,283.31037815334764,283.31037815334764,283.31037815334764,null,1,Marquet
210603,276.13497642696416,276.13497642696416,276.13497642696416,276.13497642696416,null,1,Marquet
210704,103.83060219805141,103.83060219805141,100.88301997758109,106.77818441852173,4.168510752398934,2,Marquet
210800,202.2118750997746,202.2118750997746,171.38380822232446,233.03994197722471,43.59747027983476,2,Marquet
210900,273.3153416109692,252.7202166637742,94.68514090610022,369.5650425270583,114.73516896851329,4,Marquet
211100,186.7355868349717,224.63365946790373,127.5575495557855,397.505914645886,128.0432163203848,4,Marquet
211201,90.63085015710797,90.63085015710797,90.63085015710797,90.63085015710797,null,1,Marquet
211202,317.86742223970225,317.86742223970225,181.2448176709224,454.49002680848207,193.2135403079048,2,Marquet
211331,301.01205919927264,301.01205919927264,301.01205919927264,301.01205919927264,null,1,Marquet
218003,287.91294013989,287.91294013989,287.91294013989,287.91294013989,null,1,Marquet
241000,70.6640408174611,70.6640408174611,70.6640408174611,70.6640408174611,null,1,Marquet
245100,100.68337845950784,100.68337845950784,100.68337845950784,100.68337845950784,null,1,Marquet
250102,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
251400,214.82709034714756,214.82709034714756,214.82709034714756,214.82709034714756,null,1,Marquet
252604,281.42257800784097,281.42257800784097,281.42257800784097,281.42257800784097,null,1,Marquet
252801,242.8972677117348,242.8972677117348,242.8972677117348,242.8972677117348,null,1,Marquet
252909,205.44348817135668,205.44348817135668,205.44348817135668,205.44348817135668,null,1,Marquet
253204,248.96590287510102,248.96590287510102,248.96590287510102,248.96590287510102,null,1,Marquet
270300,251.28196680300323,251.28196680300323,127.5575495557855,375.00638405022096,174.972748867723,2,Marquet
270400,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
270600,216.91792106932846,221.26013160253288,171.3609133516512,275.50156038661896,52.205935346964516,3,Marquet
270801,301.41900093817253,324.55865819426657,275.1791926276267,420.21743827309444,65.69828577678413,4,Marquet
270802,232.40908030563887,327.50254754081396,203.01914606241974,547.0794162543832,190.72609421431355,3,Marquet
270902,257.94980664537945,176.9501716223826,8.458720802153374,264.441987419615,145.95397854265786,3,Marquet
271100,321.600776664105,321.600776664105,283.31037815334764,359.8911751748624,54.15080088258363,2,Marquet
271200,181.49028381238534,181.49028381238534,181.49028381238534,181.49028381238534,null,1,Marquet
271400,357.10192641967143,357.10192641967143,357.10192641967143,357.10192641967143,null,1,Marquet
271600,157.10847660770284,157.10847660770284,58.78596243404839,255.4309907813573,139.049033031003,2,Marquet
271701,535.931565843423,435.0749021763598,185.98335288048378,593.9988641148673,179.09642522011762,5,Marquet
271702,285.7327871294273,265.0454978756374,217.51355553699224,291.89015096049263,41.278837667747425,3,Marquet
271800,476.68291461689546,476.68291461689546,476.68291461689546,476.68291461689546,null,1,Marquet
300201,236.178262029966,236.178262029966,8.458720802153374,463.8978032577786,322.0440636217518,2,Marquet
300600,181.2448176709224,181.2448176709224,181.2448176709224,181.2448176709224,null,1,Marquet
300904,169.9167449898735,169.9167449898735,169.9167449898735,169.9167449898735,null,1,Marquet
301106,205.44348817135668,205.44348817135668,205.44348817135668,205.44348817135668,null,1,Marquet
310701,119.76927722096323,119.76927722096323,1.6039915333236667,237.9345629086028,167.11094962115126,2,Marquet
310704,168.71979685025,168.71979685025,168.71979685025,168.71979685025,null,1,Marquet
314001,232.5669040818752,232.5669040818752,232.5669040818752,232.5669040818752,null,1,Marquet
318900,251.47382667885762,251.47382667885762,251.47382667885762,251.47382667885762,null,1,Marquet
330105,78.20251580239062,78.20251580239062,78.20251580239062,78.20251580239062,null,1,Marquet
334004,91.25732583874633,91.25732583874633,91.25732583874633,91.25732583874633,null,1,Marquet
337100,195.75597705135226,195.75597705135226,195.75597705135226,195.75597705135226,null,1,Marquet
360100,281.15332466056657,281.15332466056657,281.15332466056657,281.15332466056657,0,3,Marquet
360400,1431.92043075946,1431.92043075946,46.82300238811576,2817.0178591308045,1958.8235684108517,2,Marquet
370300,314.4082998409184,314.4082998409184,314.4082998409184,314.4082998409184,null,1,Marquet
