fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
20195,100.6711409,1,4,993,2945,2945,2,2,100.0,3,38,0,2,0,1,8,27,3,1,2980
20197,141.8238548,1,4,994,7062,6230,4,3,98.4551,10,59,0,1,0,9,13,34,12,9,7051
20199,127.4697259,1,4,995,1535,1535,1,1,41.6667,2,2,0,2,0,0,0,2,0,0,1569
20201,35.53028957,1,4,996,5875,5875,1,1,100.0,2,9,0,1,0,1,3,5,1,0,5629
20203,228.1021898,1,4,997,2288,2288,1,1,100.0,5,30,0,0,0,5,7,23,0,0,2192
20205,197.693575,1,4,998,9348,9348,3,3,73.5986,18,234,0,2,1,15,65,159,9,2,9105
20207,248.3700714,1,4,999,3309,3309,2,2,100.0,8,64,0,1,0,7,25,39,0,1,3221
20209,590.457901,1,4,1000,158998,159032,7,7,99.9979,947,8175,16,90,286,554,1834,5085,1256,80,160384
21101,207.1331478,1,4,1052,46523,46523,3,2,100.0,96,1061,1,23,39,33,231,771,60,3,46347
21103,25.89834898,1,4,1053,15557,13902,5,2,100.0,4,73,0,1,0,2,24,47,2,0,15445
21105,63.22444679,1,4,1054,4796,4796,3,2,100.0,3,31,0,0,0,2,11,17,4,0,4745
21107,141.5276408,1,4,1055,47028,45822,7,5,100.0,66,968,2,22,13,29,269,642,58,6,46634
21109,22.34304014,1,4,1056,13477,12679,4,2,100.0,3,63,0,1,0,1,29,28,7,0,13427
21111,576.7462264,1,4,1057,748857,748003,25,20,99.9308,4365,32473,78,266,1557,2465,8103,21941,2430,250,756832
21113,163.4345166,1,4,1058,49170,49170,6,3,100.0,82,1781,2,19,30,31,536,1195,49,5,50173
21115,68.23318692,1,4,1059,23455,23455,3,2,100.0,16,217,2,3,4,7,77,125,15,1,23449
21117,198.5963407,1,4,1060,160812,160812,17,15,100.0,324,4243,3,59,153,109,1110,2879,255,29,163145
21119,18.77816725,1,4,1061,16330,15020,4,1,100.0,3,58,0,1,0,1,19,32,7,0,15976
21121,75.49543882,1,4,1062,30174,31969,3,3,100.0,24,405,0,5,8,11,217,160,28,4,31790
21123,49.77246871,1,4,1063,14351,14351,3,2,100.0,7,74,0,1,1,4,37,29,9,0,14064
21125,88.98141464,1,4,1064,59505,59505,5,2,100.0,53,980,3,9,20,21,329,579,71,2,59563
21127,56.76084763,1,4,1065,16076,16076,3,2,100.0,9,138,0,1,0,6,56,70,12,1,15856
21129,68.87052342,1,4,1066,7837,7837,4,3,100.0,5,58,0,2,1,2,17,37,4,0,7260
21131,18.15046737,1,4,1067,11261,10897,3,1,41.6667,2,16,0,1,0,1,6,6,4,0,11019
21133,38.10491553,1,4,1068,24508,23739,5,3,100.0,9,129,1,3,1,4,62,60,7,1,23619
21135,43.45936549,1,4,1069,13913,13913,3,2,100.0,6,82,0,2,0,3,43,36,3,1,13806
21137,49.24086992,1,4,1070,24758,23509,5,2,100.0,12,175,1,2,4,5,55,101,19,1,24370
21139,85.47921787,1,4,1071,9555,9555,3,1,100.0,8,100,0,4,0,4,34,54,12,1,9359
21141,145.1108796,1,4,1072,26860,26007,7,5,100.0,39,458,1,7,8,22,156,283,19,7,26876
21143,35.49875754,1,4,1073,8338,8338,4,2,100.0,3,88,0,1,0,2,18,67,3,0,8451
21145,200.3885396,1,4,1074,66031,66031,5,3,100.0,131,1899,4,34,50,43,360,1460,79,9,65373
21147,72.26638501,1,4,1075,18331,18331,4,1,100.0,13,116,0,3,7,3,65,42,9,3,17989
21149,42.12299916,1,4,1076,9551,8787,4,1,100.0,4,42,0,1,0,3,21,19,2,0,9496
21151,163.5705106,1,4,1077,84401,84401,6,4,100.0,140,3011,1,23,60,55,833,2063,114,12,85590
21153,46.33204633,1,4,1078,13249,13249,3,2,100.0,6,42,1,1,0,3,20,19,3,0,12950
21155,89.7979546,1,4,1079,20033,19735,4,2,100.0,18,261,0,7,1,11,99,143,19,1,20045
21157,122.1589996,1,4,1080,31387,31387,4,3,100.0,38,500,0,11,5,22,180,288,33,3,31107
21159,110.6981893,1,4,1081,12783,12783,3,2,100.0,14,115,0,1,2,10,40,56,20,0,12647
21161,144.6926728,1,4,1082,17698,17698,4,3,100.0,25,550,0,6,5,14,139,395,16,3,17278
21163,65.04621705,1,4,1083,29637,29637,4,3,100.0,19,224,0,3,4,12,111,98,16,1,29210
21165,15.90330789,1,4,1084,6333,6333,2,1,100.0,1,40,0,1,0,1,11,25,5,0,6288
21167,93.68120287,1,4,1085,21336,20372,4,2,100.0,20,273,0,4,7,10,118,130,24,2,21349
21169,20.0340579,1,4,1086,10098,10098,3,2,100.0,2,76,0,1,0,1,32,37,7,0,9983
21171,37.449677,1,4,1087,10965,10748,5,3,100.0,4,18,0,1,0,3,8,8,1,0,10681
21173,176.1403251,1,4,1088,26811,26811,4,3,100.0,48,1028,0,6,19,22,363,620,45,3,27251
21175,22.42152466,1,4,1089,13978,3444,3,1,100.0,3,36,0,0,0,2,8,24,4,0,13380
21177,48.10930434,1,4,1090,31351,31351,6,4,100.0,15,200,0,5,1,9,53,125,22,3,31179
21179,112.2586439,1,4,1091,44085,44085,6,4,98.525,50,727,1,14,13,22,249,432,46,4,44540
21181,71.03281716,1,4,1092,7076,7076,4,2,100.0,5,51,0,1,1,3,24,21,6,0,7039
21183,133.4000334,1,4,1093,24164,24164,6,5,100.0,32,295,3,7,1,21,132,136,26,7,23988
21185,48.10467577,1,4,1094,60733,60795,5,5,100.0,30,654,1,8,6,16,235,392,26,7,62364
21187,18.75820672,1,4,1095,10885,10885,4,2,100.0,2,100,0,1,0,1,57,38,4,0,10662
21189,21.486893,1,4,1096,4832,4750,3,1,100.0,1,30,0,0,0,0,8,21,2,0,4654
21191,96.08785175,1,4,1097,14735,14127,4,2,100.0,14,210,0,2,3,8,81,117,12,0,14570
21193,96.39414495,1,4,1098,28824,28824,4,3,100.0,27,383,0,5,8,15,92,280,11,3,28010
21195,37.86683496,1,4,1099,65068,64086,7,3,100.0,24,592,2,7,5,11,101,472,19,4,63380
21197,56.02689291,1,4,1100,12683,12683,4,3,100.0,7,176,0,1,1,4,85,84,8,0,12494
21199,118.9228097,1,4,1101,63854,63532,9,7,100.0,76,1511,3,20,21,33,500,958,53,10,63907
21201,0.0,1,4,1102,2235,0,3,1,100.0,0,0,0,0,0,0,0,0,0,0,2235
21203,35.94320973,1,4,1103,17112,15897,4,2,100.0,6,155,0,1,2,2,93,55,7,2,16693
21205,63.75653504,1,4,1104,23642,23642,4,3,100.0,15,304,0,6,4,5,66,228,10,1,23527
21207,56.33168094,1,4,1105,17655,17655,4,3,100.0,10,157,0,2,3,5,49,96,12,1,17752
21209,376.3989829,1,4,1106,48271,48271,9,4,100.0,188,1424,1,26,33,127,352,1001,71,4,49947
21211,128.9126108,1,4,1107,43102,43102,5,3,100.0,57,885,2,8,20,28,320,523,42,5,44216
